Sex;Age;Periodo;Total
Both genders;52 years old;2012;2.370
Both genders;52 years old;2011;2.931
Both genders;52 years old;2010;2.650
Both genders;52 years old;2009;2.626
Both genders;52 years old;2008;3.628
Both genders;53 years old;2021;4.763
Both genders;53 years old;2020;4.045
Both genders;53 years old;2019;6.112
Both genders;53 years old;2018;5.273
Both genders;53 years old;2017;4.317
Both genders;53 years old;2016;3.399
Both genders;53 years old;2015;2.712
Both genders;53 years old;2014;2.480
Both genders;53 years old;2013;2.196
Both genders;53 years old;2012;2.209
Both genders;53 years old;2011;2.761
Both genders;53 years old;2010;2.546
Both genders;53 years old;2009;2.492
Both genders;53 years old;2008;3.523
Both genders;54 years old;2021;4.479
Both genders;54 years old;2020;3.876
Both genders;54 years old;2019;5.971
Both genders;54 years old;2018;5.076
Both genders;54 years old;2017;4.146
Both genders;54 years old;2016;3.232
Both genders;54 years old;2015;2.644
Both genders;54 years old;2014;2.328
Both genders;54 years old;2013;2.203
Both genders;54 years old;2012;2.249
Both genders;54 years old;2011;2.619
Both genders;54 years old;2010;2.478
Both genders;54 years old;2009;2.378
Both genders;54 years old;2008;3.138
Both genders;55 years old;2021;4.503
Both genders;55 years old;2020;4.011
Both genders;55 years old;2019;5.876
Both genders;55 years old;2018;4.894
Both genders;55 years old;2017;3.932
Both genders;55 years old;2016;3.195
Both genders;55 years old;2015;2.628
Both genders;55 years old;2014;2.355
Both genders;55 years old;2013;2.079
Both genders;55 years old;2012;2.234
Both genders;55 years old;2011;2.630
Both genders;55 years old;2010;2.314
Both genders;55 years old;2009;2.349
Both genders;55 years old;2008;3.123
Both genders;56 years old;2021;4.433
Both genders;56 years old;2020;3.810
Both genders;56 years old;2019;5.560
Both genders;56 years old;2018;4.558
Both genders;56 years old;2017;3.732
Both genders;56 years old;2016;3.077
Both genders;56 years old;2015;2.434
Both genders;56 years old;2014;2.256
Both genders;56 years old;2013;2.040
Both genders;56 years old;2012;2.116
Both genders;56 years old;2011;2.451
Both genders;56 years old;2010;2.250
Both genders;56 years old;2009;2.183
Both genders;56 years old;2008;2.894
Both genders;57 years old;2021;4.352
Both genders;57 years old;2020;3.744
Both genders;57 years old;2019;5.198
Both genders;57 years old;2018;4.403
Both genders;57 years old;2017;3.593
Both genders;57 years old;2016;2.834
